page_id,thread,user_id,is_attacker,is_target
2000.0,1,18222402.0,1,0
2301.0,36,26593471.0,1,0
2933.0,1,13456133.0,0,1
2933.0,1,3989854.0,1,0
2960.0,16,21489548.0,1,0
2960.0,16,15763484.0,0,1
3915.0,7,1304678.0,0,1
3915.0,7,9474535.0,0,1
3915.0,7,12508748.0,1,0
3915.0,7,409043.0,0,1
3915.0,7,4007668.0,0,1
4638.0,1,2221364.0,0,1
4638.0,1,19132871.0,1,0
4638.0,2,17736865.0,1,0
4638.0,2,1698793.0,0,1
4638.0,2,18243913.0,0,1
4638.0,2,105143.0,0,1
4638.0,2,18028366.0,0,1
4638.0,2,813262.0,0,1
4638.0,2,17413393.0,0,1
4638.0,2,10903890.0,0,1
4638.0,2,1435029.0,0,1
4638.0,2,2909462.0,0,1
4638.0,2,878293.0,0,1
4638.0,2,4937590.0,0,1
4638.0,2,1988889.0,0,1
4638.0,2,11496923.0,0,1
4638.0,2,9752287.0,0,1
4725.0,2,25010649.0,1,0
4725.0,2,409043.0,0,1
4725.0,2,16503124.0,0,1
4894.0,8,3810835.0,0,1
4894.0,8,21191179.0,1,0
4894.0,8,1381068.0,0,1
5006.0,5,24000888.0,1,0
5006.0,5,596674.0,0,1
6126.0,20,26411912.0,1,0
6929.0,3,144968.0,1,0
6929.0,3,93143.0,0,1
6929.0,13,10519136.0,1,0
6929.0,13,2563820.0,0,1
7095.0,2,24031079.0,1,0
7640.0,2,453528.0,0,1
7640.0,2,14129502.0,1,0
7640.0,2,3139350.0,0,1
8261.0,2,23805336.0,1,0
8261.0,2,3784322.0,0,1
8261.0,2,87355.0,0,1
8261.0,2,3082175.0,0,1
8532.0,5,26102565.0,1,0
9721.0,3,626238.0,1,0
11453.0,6,24756774.0,1,0
11937.0,27,9868430.0,1,0
12813.0,1,869314.0,1,0
12813.0,1,17929548.0,0,1
12813.0,6,24923014.0,1,0
13165.0,1,1559168.0,0,1
13165.0,1,1693504.0,0,1
13165.0,1,15815756.0,1,0
13165.0,1,380571.0,0,1
13165.0,1,15706878.0,0,1
13783.0,3,17510201.0,0,1
13783.0,3,14853459.0,1,0
13783.0,3,6999039.0,0,1
13918.0,14,23289575.0,0,1
13918.0,14,10793416.0,0,1
13918.0,14,1752945.0,0,1
13918.0,14,19424891.0,0,1
13918.0,14,1369916.0,0,1
13918.0,14,8520318.0,1,0
14083.0,1,6036800.0,0,1
14083.0,1,4293477.0,0,1
14083.0,1,20965958.0,0,1
14083.0,1,17653586.0,0,1
14083.0,1,409043.0,0,1
14083.0,1,973656.0,1,0
14274.0,8,20597344.0,0,1
14274.0,8,21603618.0,0,1
14274.0,8,4302594.0,0,1
14274.0,8,17553155.0,0,1
14274.0,8,142435.0,0,1
14274.0,8,12949512.0,0,1
14274.0,8,6200168.0,0,1
14274.0,8,252076.0,0,1
14274.0,8,4209904.0,1,0
14274.0,8,607280.0,0,1
14274.0,8,18628346.0,0,1
14274.0,8,409043.0,0,1
14274.0,8,753876.0,0,1
14274.0,8,3379221.0,0,1
14274.0,8,700244.0,0,1
14274.0,8,1763353.0,0,1
14274.0,8,21006650.0,0,1
14274.0,8,4958621.0,0,1
14274.0,16,4302594.0,0,1
14274.0,16,12949512.0,0,1
14274.0,16,2576398.0,0,1
14274.0,16,16944783.0,0,1
14274.0,16,3379221.0,0,1
14274.0,16,4958621.0,0,1
14274.0,16,3002016.0,0,1
14274.0,16,22923434.0,0,1
14274.0,16,252076.0,0,1
14274.0,16,374195.0,0,1
14274.0,16,9505858.0,0,1
14274.0,16,18336458.0,0,1
14274.0,16,409043.0,0,1
14274.0,16,700244.0,1,0
14274.0,16,760284.0,0,1
14274.0,16,5197671.0,0,1
14274.0,16,6200168.0,0,1
14274.0,16,1414762.0,0,1
14274.0,16,26606.0,0,1
14274.0,16,4209904.0,0,1
14274.0,16,478073.0,0,1
14274.0,36,1902918.0,1,0
14274.0,36,5197671.0,0,1
14274.0,36,6200168.0,0,1
14274.0,36,12949512.0,0,1
14274.0,36,18336458.0,0,1
14274.0,36,1381068.0,0,1
14274.0,36,3315180.0,0,1
14274.0,36,478073.0,0,1
14274.0,36,760284.0,0,1
14274.0,36,7552894.0,0,1
14370.0,4,3158216.0,1,0
14370.0,4,1698793.0,0,1
14370.0,4,1739907.0,0,1
14917.0,10,26633786.0,1,0
14917.0,10,134756.0,0,1
15013.0,1,19132871.0,0,1
15013.0,1,3861279.0,1,0
15258.0,1,22402593.0,1,0
15258.0,1,11289927.0,0,1
15299.0,5,17683328.0,0,1
15299.0,5,524544.0,0,1
15299.0,5,7896724.0,0,1
15299.0,5,3210516.0,0,1
15299.0,5,11642524.0,0,1
15299.0,5,12542885.0,1,0
15299.0,5,1018034.0,0,1
15299.0,5,19640.0,0,1
15299.0,5,14643131.0,1,0
15299.0,5,6036800.0,0,1
15299.0,5,85186.0,0,1
15299.0,5,2489164.0,0,1
15299.0,5,367949.0,0,1
15299.0,5,3358555.0,0,1
15299.0,5,1304678.0,0,1
15299.0,5,1177838.0,0,1
15299.0,5,9666801.0,0,1
15299.0,5,478073.0,0,1
15299.0,5,3308922.0,0,1
15299.0,5,308349.0,0,1
15299.0,9,17683328.0,0,1
15299.0,9,524544.0,0,1
15299.0,9,85186.0,0,1
15299.0,9,12542885.0,0,1
15299.0,9,6200168.0,0,1
15299.0,9,14646698.0,0,1
15299.0,9,18057899.0,0,1
15299.0,9,2489164.0,0,1
15299.0,9,1177838.0,0,1
15299.0,9,97232.0,1,0
15299.0,9,9666801.0,0,1
15299.0,9,1018034.0,0,1
15299.0,9,4830385.0,0,1
15299.0,9,3210516.0,0,1
15299.0,9,3308922.0,0,1
15299.0,9,3358555.0,0,1
15299.0,9,308349.0,0,1
15299.0,9,2663551.0,0,1
15586.0,9,22065643.0,1,0
15586.0,9,2039422.0,0,1
15646.0,8,19367206.0,1,0
16780.0,15,23345854.0,1,0
17456.0,15,192160.0,0,1
17456.0,15,22868969.0,1,0
17456.0,15,13259281.0,0,1
17456.0,15,4656953.0,0,1
17919.0,4,3158216.0,1,0
17919.0,4,23444760.0,0,1
17919.0,4,59944.0,0,1
20068.0,5,2387872.0,1,0
20068.0,5,835.0,0,1
20068.0,5,16953838.0,0,1
20068.0,5,21851824.0,0,1
20068.0,5,13266874.0,0,1
20800.0,17,12564712.0,0,1
20800.0,17,19404073.0,0,1
20800.0,17,3020778.0,0,1
20800.0,17,16953838.0,0,1
20800.0,17,5627478.0,0,1
20800.0,17,13478039.0,0,1
20800.0,17,7310206.0,0,1
20800.0,17,3521695.0,1,0
23214.0,11,1304678.0,0,1
23214.0,11,20732776.0,0,1
23214.0,11,106922.0,0,1
23214.0,11,17723088.0,1,0
23214.0,11,1100050.0,0,1
23214.0,11,409043.0,0,1
23214.0,11,22431294.0,1,0
23662.0,0,20666331.0,1,0
23948.0,8,3020778.0,0,1
23948.0,8,21832791.0,0,1
23948.0,8,22057623.0,1,0
24367.0,1,7226930.0,1,0
24367.0,4,22220474.0,1,0
24952.0,8,469625.0,1,0
25931.0,8,5344702.0,1,0
25931.0,26,24642242.0,0,1
25931.0,26,348139.0,0,1
25931.0,26,1304678.0,1,0
26155.0,1,17878972.0,0,1
26155.0,1,12759068.0,1,0
26155.0,1,9900108.0,0,1
26864.0,7,9366145.0,0,1
26864.0,7,17643515.0,0,1
26864.0,7,889851.0,0,1
26864.0,7,48143.0,0,1
26864.0,7,19497080.0,0,1
26864.0,7,3085403.0,1,0
27175.0,12,18474721.0,0,1
27175.0,12,24476642.0,0,1
27175.0,12,4293477.0,0,1
27175.0,12,24271879.0,1,0
27175.0,12,24344970.0,0,1
27175.0,12,7695475.0,0,1
27175.0,12,409043.0,0,1
27175.0,12,13123156.0,0,1
27175.0,12,24166168.0,0,1
27175.0,13,24820576.0,1,0
27175.0,13,24344970.0,0,1
27175.0,13,409043.0,0,1
28031.0,9,23572813.0,1,0
31681.0,5,14892577.0,0,1
31681.0,5,8339508.0,1,0
31946.0,3,7675457.0,0,1
31946.0,3,12234587.0,0,1
31946.0,3,11179331.0,0,1
31946.0,3,661572.0,0,1
31946.0,3,17859592.0,0,1
31946.0,3,69423.0,0,1
31946.0,3,10152666.0,0,1
31946.0,3,14596827.0,0,1
31946.0,3,20441247.0,1,0
31946.0,18,15849025.0,0,1
31946.0,18,661572.0,0,1
31946.0,18,20095469.0,1,0
31946.0,18,69423.0,0,1
31946.0,18,10152666.0,0,1
31946.0,18,20848604.0,0,1
31946.0,18,65885.0,0,1
32072.0,12,199625.0,1,0
32072.0,12,20123115.0,0,1
32072.0,12,933644.0,0,1
32072.0,12,11797131.0,0,1
32072.0,12,8520318.0,0,1
32613.0,19,11292517.0,0,1
32613.0,19,13296198.0,0,1
32613.0,19,12545543.0,0,1
32613.0,19,270506.0,0,1
32613.0,19,11774442.0,0,1
32613.0,19,134766.0,0,1
32613.0,19,20258740.0,1,0
32613.0,19,12589332.0,0,1
32613.0,19,20818263.0,0,1
32613.0,19,4030526.0,0,1
32805.0,12,23692147.0,1,0
32805.0,16,4293477.0,0,1
32805.0,16,933709.0,1,0
33113.0,9,21522725.0,1,0
33113.0,15,19420882.0,0,1
33113.0,15,22713298.0,1,0
33113.0,15,5473743.0,0,1
33113.0,23,24271879.0,0,1
33113.0,23,11232811.0,1,0
33113.0,23,23119982.0,0,1
33113.0,23,5473743.0,0,1
33113.0,23,14264656.0,0,1
33233.0,5,21095466.0,0,1
33233.0,5,21102711.0,1,0
33233.0,20,4709.0,1,0
33233.0,20,24002854.0,0,1
33503.0,12,22502674.0,0,1
33503.0,12,409043.0,0,1
33503.0,12,22546148.0,1,0
37263.0,34,15935372.0,1,0
37263.0,34,4293477.0,0,1
39228.0,29,395969.0,0,1
39228.0,29,1304678.0,0,1
39228.0,29,348139.0,1,0
39228.0,29,23325966.0,0,1
39228.0,29,4936306.0,0,1
39228.0,29,263324.0,0,1
39779.0,2,20057620.0,0,1
39779.0,2,1920374.0,1,0
40104.0,2,54656.0,1,0
40104.0,2,245457.0,0,1
40104.0,2,6036800.0,0,1
40104.0,2,341372.0,0,1
40438.0,1,219546.0,1,0
40438.0,1,341388.0,0,1
40438.0,1,455421.0,0,1
40438.0,1,14419679.0,1,0
46643.0,1,8046373.0,0,1
46643.0,1,1960810.0,0,1
46643.0,1,2093199.0,0,1
46643.0,1,67221.0,0,1
